eventid,latitude,longitude,attacktype1,weaptype1,nkill,nwound
197007110002,41.637675,-70.930869,2,5,1,3
197007120001,37.424305,-122.143913,3,6,0,0
197007140001,41.842602,-87.681229,7,8,0,0
197007140002,40.697132,-73.931351,7,8,0,0
197007160001,41.842602,-87.681229,7,8,0,0
197007160002,40.697132,-73.931351,7,8,0,0
197007160003,44.943829,-93.093326,7,8,0,0
197007170001,41.842602,-87.681229,2,5,2,0
197007180001,40.697132,-73.931351,3,6,0,0
197007200001,40.697132,-73.931351,7,8,0,0
197007210001,,,6,13,0,0
197007210002,32.715695,-117.161719,3,6,0,0
197007210003,40.697132,-73.931351,3,6,0,0
197007210004,43.064388,-87.966202,3,6,0,0
197007220001,37.99749,23.762728,4,5,0,0
197007220002,43.064388,-87.966202,3,6,0,0
197007220003,39.933449,-75.106743,7,8,0,0
197007230001,12.103822,-86.267014,6,13,0,0
197007230002,34.097866,-118.407379,3,6,0,0
197007240001,-8.048021,-34.876338,6,13,0,0
197007240002,40.697132,-73.931351,7,8,0,0
197007260001,38.62774,-90.199514,1,6,1,0
197007260002,43.939135,-90.820369,3,6,0,0
197007270001,40.697132,-73.931351,3,6,0,0
197007270002,43.939135,-90.820369,3,6,0,0
197007270003,43.939135,-90.820369,3,6,0,0
197007270004,37.755363,-122.443352,3,6,0,0
197007270005,37.755363,-122.443352,3,6,0,0
197007280001,-34.891151,-56.187214,6,13,0,0
197007280002,29.813822,-95.365295,3,6,0,0
197007280003,42.815372,-1.653616,3,6,,
197007300001,37.774422,-122.275475,3,6,0,0
197007300002,41.842602,-87.681229,3,6,0,0
197007310001,-34.891151,-56.187214,6,13,,
197007310002,-34.891151,-56.187214,6,13,0,0
197007310003,-34.891151,-56.187214,6,13,1,0
197007310004,-34.422436,-58.737755,2,5,0,0
197007310006,35.2225,-80.837539,2,5,0,0
197008000001,52.370216,4.895168,2,5,,
197008010001,40.697132,-73.931351,3,6,0,0
197008010002,50.836426,4.367415,3,6,0,0
197008020001,37.874043,-122.280022,3,6,0,0
197008050001,43.064388,-87.966202,3,6,0,0
197008060001,-26.808285,-65.21759,1,5,1,0
197008060002,33.871124,-117.861401,3,6,0,0
197008060004,37.338475,-121.885794,2,5,1,0
197008070001,52.50153,13.401851,3,6,,
197008070002,39.26931,-76.503519,7,8,0,0
197008070003,37.97457,-122.532474,6,5,4,2
197008090001,-31.632368,-60.699359,2,5,,
197008100001,45.511795,-122.675629,7,8,0,0
197008110001,54.077313,-6.608787,3,6,2,
197008120001,52.50153,13.401851,3,6,,
197008140001,52.50153,13.401851,3,6,,
197008150001,33.60651,-88.650419,1,5,1,0
197008170001,41.260675,-95.940469,3,6,1,7
197008170002,44.964985,-93.260193,3,6,0,1
197008180001,40.697132,-73.931351,7,8,0,0
197008190001,-34.891151,-56.187214,6,13,0,0
197008200001,38.908642,-77.015381,3,6,0,0
197008200002,39.464791,-76.829198,7,8,0,0
197008200003,37.874043,-122.280022,2,5,1,0
197008210001,-34.891151,-56.187214,5,5,0,0
197008210002,44.04483,-123.072606,7,8,0,0
197008220001,44.943829,-93.093326,3,6,0,1
197008220002,39.308342,-76.616104,7,8,0,0
197008240001,43.07295,-89.386694,3,6,1,4
197008250001,19.371887,-99.086624,6,13,0,0
197008250002,42.505832,-71.19376,7,8,0,0
197008270001,52.50153,13.401851,3,6,,
197008270002,42.377003,-71.11666,7,8,0,0
197008280001,35.948199,-77.795207,3,6,0,0
197008280002,37.90118,-122.061628,7,8,0,0
197008290001,38.908642,-77.015381,3,6,0,0
197008290002,37.874043,-122.280022,7,8,0,0
197008290003,37.90118,-122.061628,7,8,0,0
197008290004,33.946154,-118.082952,3,6,0,0
197008300001,38.908642,-77.015381,3,6,0,0
197008300002,33.948005,-83.377322,7,8,0,0
197008310001,39.930771,32.76754,3,6,0,0
197009000001,31.950001,35.933331,6,13,0,0
197009000002,-34.891151,-56.187214,7,8,2,0
197009010002,40.008171,-75.13549,2,5,0,0
197009020001,37.99749,23.762728,3,6,2,0
197009020002,37.755363,-122.443352,3,6,0,0
197009020003,37.432805,-121.897259,3,6,0,0
197009030001,37.548148,-121.988566,3,6,0,0
197009030002,35.14968,-90.048929,3,6,0,0
197009040001,44.943829,-93.093326,3,6,0,0
197009040002,-34.891151,-56.187214,1,6,0,0
197009040003,54.607712,-5.95621,3,6,1,
197009040004,43.064388,-87.966202,3,6,0,0
197009040005,33.745573,-117.867834,3,6,0,0
197009050001,41.82277,-90.538969,3,6,0,2
197009050002,34.097866,-118.407379,3,6,0,0
197009060001,50.11797,8.644191,4,6,0,0
197009060002,47.36865,8.539182,4,13,0,0
197009060003,52.370216,4.895168,4,5,0,0
197009060004,52.370216,4.895168,4,5,1,0
197009060006,42.58176,-71.792259,3,6,0,0
197009090001,52.50153,13.401851,3,6,0,0
197009090002,-31.399301,-64.182129,3,6,0,0
197009090003,43.07295,-89.386694,7,8,0,0
197009100002,29.647665,-82.348458,7,8,0,0
197009110001,31.950001,35.933331,6,13,0,0
197009110003,-34.891151,-56.187214,3,6,0,0
